SMTP,localhost,PHP_INI_ALL,
allow_call_time_pass_reference,1,PHP_INI_PERDIR,PHP_INI_ALL in PHP 4.0.0. Removed in PHP 5.4.0;,allow_url_fopen,1,PHP_INI_ALL,PHP_INI_ALL in PHP &lt;= 4.3.4;,,allow_url_include,0,PHP_INI_ALL,PHP_INI_SYSTEM in PHP 5. Available since PHP 5.2.0;,,always_populate_raw_post_data,0,PHP_INI_PERDIR,PHP_INI_ALL in PHP &lt;= 4.2.3. Available since PHP 4.1.0;,,apc.cache_by_default,1,PHP_INI_ALL,PHP_INI_SYSTEM in APC &lt;= 3.0.12. Available since APC 3.0.0;,,apc.enabled,1,PHP_INI_SYSTEM,PHP_INI_SYSTEM in APC 2. PHP_INI_ALL in APC &lt;= 3.0.12;,,apc.enable_cli,0,PHP_INI_SYSTEM,Available since APC 3.0.7;,,apc.file_update_protection,2,PHP_INI_SYSTEM,Available since APC 3.0.6;,,apc.filters,NULL,PHP_INI_SYSTEM,;,,apc.gc_ttl,3600,PHP_INI_SYSTEM,;,,apc.include_once_override,0,PHP_INI_SYSTEM,Available since APC 3.0.12;,,apc.localcache,0,PHP_INI_SYSTEM,Available since APC 3.0.14;,,apc.localcache.size,512,PHP_INI_SYSTEM,Available since APC 3.0.14;,,apc.max_file_size,1M,PHP_INI_SYSTEM,Available since APC 3.0.7;,,apc.mmap_file_mask,NULL,PHP_INI_SYSTEM,;,,apc.num_files_hint,1000,PHP_INI_SYSTEM,;,,apc.optimization,0,PHP_INI_ALL,PHP_INI_SYSTEM in APC 2. Removed in APC 3.0.13;,,apc.report_autofilter,0,PHP_INI_SYSTEM,Available since APC 3.0.11;,,apc.rfc1867,0,PHP_INI_SYSTEM,Available since APC 3.0.13;,,apc.rfc1867_freq,0,PHP_INI_SYSTEM,;,,apc.rfc1867_name,APC_UPLOAD_PROGRESS,PHP_INI_SYSTEM,;,,apc.rfc1867_prefix,upload_,PHP_INI_SYSTEM,;,,apc.shm_segments,1,PHP_INI_SYSTEM,;,,apc.shm_size,30,PHP_INI_SYSTEM,;,,apc.slam_defense,0,PHP_INI_SYSTEM,Available since APC 3.0.0;,,apc.stat,1,PHP_INI_SYSTEM,Available since APC 3.0.10;,,apc.stat_ctime,0,PHP_INI_SYSTEM,Available since APC 3.0.13;,,apc.ttl,0,PHP_INI_SYSTEM,Available since APC 3.0.0;,,apc.user_entries_hint,4096,PHP_INI_SYSTEM,Available since APC 3.0.0;,,apc.user_ttl,0,PHP_INI_SYSTEM,Available since APC 3.0.0;,,apc.write_lock,1,PHP_INI_SYSTEM,Available since APC 3.0.11;,,apd.bitmask,0,PHP_INI_ALL,Removed in apd 0.9;,,apd.dumpdir,NULL,PHP_INI_ALL,;,,apd.statement_tracing,0,PHP_INI_ALL,Available since apd 0.9;,,arg_separator,&amp;,PHP_INI_ALL,Removed in PHP 4.0.6;,,arg_separator.input,&amp;,PHP_INI_PERDIR,Available since PHP 4.0.5;,,arg_separator.output,&amp;,PHP_INI_ALL,Available since PHP 4.0.5;,,asp_tags,0,PHP_INI_PERDIR,PHP_INI_ALL in PHP 4.0.0;,,assert.active,1,PHP_INI_ALL,;,,assert.bail,0,PHP_INI_ALL,;,,assert.callback,NULL,PHP_INI_ALL,;,,assert.quiet_eval,0,PHP_INI_ALL,;,,assert.warning,1,PHP_INI_ALL,
async_send,0,PHP_INI_ALL,Available since PHP 4.2.0. Removed in PHP 4.3.0
auto_append_file,NULL,PHP_INI_PERDIR,PHP_INI_ALL in PHP &lt;= 4.2.3
auto_detect_line_endings,0,PHP_INI_ALL,Available since PHP 4.3.0
auto_globals_jit,1,PHP_INI_PERDIR,Available since PHP 5.0.0
auto_prepend_file,NULL,PHP_INI_PERDIR,PHP_INI_ALL in PHP &lt;= 4.2.3
axis2.client_home,~/work/axisc/c/deply,PHP_INI_ALL,
axis2.enable_exception,1,PHP_INI_ALL,
axis2.enable_trace,1,PHP_INI_ALL,
axis2.log_path,/tmp,PHP_INI_ALL,
bcmath.scale,0,PHP_INI_ALL,
bcompiler.enabled,1,PHP_INI_ALL,Available since bcompiler 0.8
birdstep.max_links,-1,PHP_INI_ALL,Available since PHP 4.2.0
blenc.key_file,/usr/local/etc/blenckeys,PHP_INI_ALL,
browscap,NULL,PHP_INI_SYSTEM,
cgi.check_shebang_line,1,PHP_INI_SYSTEM,Available since PHP 5.2.1
cgi.discard_path,0,PHP_INI_SYSTEM,Available since PHP 5.3.0
cgi.fix_pathinfo,1,PHP_INI_SYSTEM,PHP_INI_ALL in PHP &lt;= 5.2.0. Available since PHP 4.3.0
cgi.force_redirect,1,PHP_INI_SYSTEM,PHP_INI_ALL in PHP &lt;= 5.2.0. Available since PHP 4.2.0
cgi.nph,0,PHP_INI_ALL,Available since PHP 4.3.5
